HashFunctor,ProblemSize,AverageTimeNS
BadHashFunctor,10000,7.62210125E7
BadHashFunctor,20000,1.676251458E8
BadHashFunctor,30000,4.305190667E8
BadHashFunctor,40000,8.831890208E8
BadHashFunctor,50000,1.5143952207E9
BadHashFunctor,60000,2.3821592375E9
BadHashFunctor,70000,3.4511454333E9
BadHashFunctor,80000,4.7521262792E9
BadHashFunctor,90000,6.1455311918E9
BadHashFunctor,100000,7.8896384834E9
BadHashFunctor,110000,7.7408852459E9
MediocreHashFunctor,10000,1.139485E7
MediocreHashFunctor,20000,2.50930543E7
MediocreHashFunctor,30000,3.92218334E7
MediocreHashFunctor,40000,1.615590166E8
MediocreHashFunctor,50000,1.062175333E8
MediocreHashFunctor,60000,3.936488E8
MediocreHashFunctor,70000,2.582121249E8
MediocreHashFunctor,80000,7.832232541E8
MediocreHashFunctor,90000,6.875901584E8
MediocreHashFunctor,100000,1.0763356083E9
MediocreHashFunctor,110000,1.1397179708E9
GoodHashFunctor,10000,176041.7
GoodHashFunctor,20000,227029.2
GoodHashFunctor,30000,200891.8
GoodHashFunctor,40000,268662.5
GoodHashFunctor,50000,376524.9
GoodHashFunctor,60000,434724.9
GoodHashFunctor,70000,482304.1
GoodHashFunctor,80000,581595.8
GoodHashFunctor,90000,655075.1
GoodHashFunctor,100000,732570.8
GoodHashFunctor,110000,779516.7
