HashFunctor,ProblemSize,AverageTimeNS
BadHashFunctor,10000,208812.4
BadHashFunctor,20000,47979.3
BadHashFunctor,30000,64558.4
BadHashFunctor,40000,84587.6
BadHashFunctor,50000,110991.6
BadHashFunctor,60000,92716.8
BadHashFunctor,70000,147104.1
BadHashFunctor,80000,164816.6
BadHashFunctor,90000,158750.0
BadHashFunctor,100000,174137.6
BadHashFunctor,110000,275758.4
MediocreHashFunctor,10000,599245.8
MediocreHashFunctor,20000,283912.5
MediocreHashFunctor,30000,414791.7
MediocreHashFunctor,40000,250829.1
MediocreHashFunctor,50000,437083.4
MediocreHashFunctor,60000,529208.4
MediocreHashFunctor,70000,659516.7
MediocreHashFunctor,80000,971500.1
MediocreHashFunctor,90000,528891.6
MediocreHashFunctor,100000,823870.9
MediocreHashFunctor,110000,660187.5
GoodHashFunctor,10000,148962.5
GoodHashFunctor,20000,190108.4
GoodHashFunctor,30000,188833.3
GoodHashFunctor,40000,258091.7
GoodHashFunctor,50000,341250.0
GoodHashFunctor,60000,413691.6
GoodHashFunctor,70000,463633.4
GoodHashFunctor,80000,530299.9
GoodHashFunctor,90000,629895.9
GoodHashFunctor,100000,646695.9
GoodHashFunctor,110000,665454.2
