Packet Number,Queuing Delay (ms)
1,0.00
2,4.74
3,5.19
4,5.49
5,0.54
6,4.79
7,4.78
8,5.33
9,5.09
10,4.99
11,2.33
12,5.31
13,6.16
14,4.86
15,5.25
16,5.80
17,5.09
18,1.47
19,18.98
20,5.48
21,1.31
22,1.67
23,2.70
24,5.11
25,1.39
26,4.94
27,5.51
28,24.71
29,4.99
30,4.81
31,5.17
32,1.85
33,5.59
34,5.15
35,8.90
36,5.25
37,1.55
38,5.23
39,5.03
40,1.16
41,1.22
42,7.06
43,6.22
44,5.04
45,5.04
46,5.31
47,5.35
48,1.07
49,4.79
50,0.13
51,0.75
52,5.14
53,5.63
54,1.43
55,5.45
56,5.82
57,5.06
58,5.30
59,5.07
60,0.00
61,1.54
62,3.09
63,6.13
64,9.39
65,6.16
66,6.16
67,5.93
68,6.22
69,6.19
70,1.48
71,6.04
72,5.03
73,3.64
74,6.23
75,6.37
76,5.91
77,4.79
78,1.64
79,6.02
80,3.55
81,6.38
82,5.90
83,1.30
84,1.09
85,0.23
86,3.63
87,5.20
88,5.26
89,5.69
90,1.80
91,6.11
92,5.82
93,6.51
94,7.89
95,6.09
96,6.10
97,5.85
98,6.02
99,3.94
100,5.18
101,8.20
102,5.75
103,6.43
104,5.21
105,7.10
106,5.81
107,5.98
108,6.05
109,6.24
110,4.32
111,6.05
112,5.79
113,6.18
114,3.11
115,1.39
116,0.73
117,1.91
118,5.99
119,3.06
120,6.40
121,6.13
122,4.22
123,6.32
124,4.27
125,5.59
126,6.28
127,6.37
128,5.98
129,6.18
130,0.49
131,6.25
132,7.84
133,6.44
134,0.87
135,6.12
136,6.03
137,5.95
138,5.74
139,3.34
140,5.74
141,18.15
142,6.37
143,5.73
144,1.78
145,8.14
146,6.92
147,6.06
148,6.45
149,5.40
150,6.38
151,1.54
152,6.37
153,6.03
154,5.90
155,6.03
156,6.17
157,5.82
158,6.15
159,6.08
160,1.09
161,1.44
162,6.00
163,5.82
164,5.78
165,6.35
166,6.98
167,6.21
168,7.45
169,6.07
170,2.69
171,6.69
172,6.10
173,6.50
174,5.80
175,1.81
176,6.23
177,5.96
178,7.35
179,2.06
180,5.30
181,15.85
182,6.75
183,1.88
184,1.94
185,1.18
186,8.31
187,6.08
188,5.91
189,6.04
190,0.24
191,6.55
192,5.82
193,7.23
194,5.98
195,5.67
196,7.93
197,5.69
198,5.92
199,6.29
200,5.91
201,7.12
202,6.58
203,5.88
204,3.16
205,5.89
206,7.33
207,6.09
208,5.69
209,6.43
210,1.37
211,5.93
212,6.44
213,6.08
214,6.24
215,5.31
216,2.80
217,1.93
218,5.87
219,6.22
220,7.16
221,1.23
222,5.88
223,5.88
224,5.54
225,5.94
226,10.70
227,5.53
228,5.78
229,6.09
230,11.16
231,6.20
232,3.96
233,1.38
234,6.53
235,1.57
236,3.23
237,5.24
238,6.13
239,5.75
240,6.07
241,5.87
242,3.28
243,5.82
244,29.52
245,6.53
246,23.13
247,3.25
248,6.34
249,6.60
250,5.01
251,5.16
252,3.06
253,6.51
254,6.06
255,4.66
256,7.83
257,5.61
258,5.70
259,4.39
260,5.02
261,10.64
262,5.09
263,5.27
264,0.05
265,1.22
