,BR,HW,L4,LN,NP,O2,T3
,MC,MC,MC,MC,MC,MC,MC
Date,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3
1/1/2009 0:00,,48,57.2,57.9,56.8,44.9,34.2
1/1/2009 1:00,,46.7,52.4,84.2,63.2,55.4,32.8
1/1/2009 2:00,,38.7,53.6,79.2,58.6,51.1,20.6
1/1/2009 3:00,,34.3,49.6,73.9,58.7,55.2,12.8
1/1/2009 4:00,,32,56.1,63.9,60.9,33.7,10.8
1/1/2009 5:00,,28.1,54.6,67.1,47.1,35.4,8
1/1/2009 6:00,,25.9,53.9,53,39.1,39.4,7.4
1/1/2009 7:00,,28.5,49.1,41.7,36.2,38.9,8.7
1/1/2009 8:00,,28.1,46.6,43.8,43.1,35.1,7.2
1/1/2009 9:00,,34.2,49.4,43.9,37.9,32.1,7
1/1/2009 10:00,,33.6,48,53.8,37.4,33.5,8.8
1/1/2009 11:00,,31.5,40.4,51.1,40.6,38.3,9.6
1/1/2009 12:00,,25.6,22.7,51.4,38,30,7.9
1/1/2009 13:00,,20.2,7.7,48.7,37.4,16.4,6.1
1/1/2009 14:00,,4.9,6.7,40.5,29.8,16,7.6
1/1/2009 15:00,,3.9,6.7,41.8,25.3,14.1,6.1
1/1/2009 16:00,,10.1,3.5,48.6,27.1,10.4,7.4
1/1/2009 17:00,,8.6,4.3,55.5,43.7,5.7,7.6
1/1/2009 18:00,,8.5,3,35.2,46.7,5.6,6.9
1/1/2009 19:00,,13.1,6.1,34.8,37.7,8.9,8.7
1/1/2009 20:00,,10.7,6,36.3,40.2,6.3,6.3
1/1/2009 21:00,,18.2,6.6,34,41,5.1,5.4
1/1/2009 22:00,,21.5,5.3,24.4,44.1,6.7,5.3
1/1/2009 23:00,,16.5,4.1,25,37.4,7.4,6.9
1/2/2009 0:00,,9,5.3,22.8,30.1,6.5,6.9
1/2/2009 1:00,,12.2,2,14.8,19.9,4.6,5.1
1/2/2009 2:00,,17.9,3.6,16.3,19,6,3.5
1/2/2009 3:00,,5.8,3.2,6.9,14.6,6.4,4.6
1/2/2009 4:00,,4.5,2,2,14.2,7.2,5.1
1/2/2009 5:00,,11.5,1.7,5.4,14.2,6.1,5.5
1/2/2009 6:00,,7.6,4,3.5,10.6,8.6,5.2
1/2/2009 7:00,,11,8.2,-1.1,11.3,6.2,3.8
