rank,title_length,age_hours,points,comments,title
1,41,2025,144,64,Why Android can't use CDC Ethernet (2023)
2,62,2025,26,0,Riding high in Germany on the world's oldest suspended railway
3,62,2025,54,24,Tracking Copilot vs. Codex vs. Cursor vs. Devin PR Performance
4,7,2025,71,21,Omnimax
5,71,2025,107,48,Building supercomputers for autocrats probably isn't good for democracy
6,65,2025,34,15,Zig Devlog: Self-Hosted x86 Back End Is Now Default in Debug Mode
7,70,2025,86,57,Panjandrum: The 'giant firework' built to break Hitler's Atlantic Wall
8,64,2025,122,83,Administering immunotherapy in the morning seems to matter. Why?
9,34,2025,6,0,Analyzing IPv4 Trades with Gnuplot
10,59,2025,79,17,Show HN: Let’s Bend – Open-Source Harmonica Bending Trainer
11,57,2025,74,39,Poison everywhere: No output from your MCP server is safe
12,79,2025,42,26,"I used AI-powered calorie counting apps, and they were even worse than expected"
13,67,2025,52,6,Endangered classic Mac plastic color returns as 3D-printer filament
14,28,2025,141,29,Gaussian integration is cool
15,28,2025,23,1,Generating Pixels One by One
16,49,2025,10,3,How to get started with writing tech video essays
17,35,2025,110,20,How Compiler Explorer Works in 2025
18,64,2025,733,186,"The last six months in LLMs, illustrated by pelicans on bicycles"
19,43,2025,81,19,Binfmtc – binfmt_misc C scripting interface
20,29,2025,393,113,Joining Apple Computer (2018)
21,75,2025,71,45,Cheap yet ultrapure titanium might enable widespread use in industry (2024)
22,65,2025,79,16,Efficient mRNA delivery to resting T cells to reverse HIV latency
23,61,2025,418,200,Self-Host and Tech Independence: The Joy of Building Your Own
24,28,2025,200,160,<Blink> and <Marquee> (2020)
25,56,2025,39,13,Launching the BeOS on Hitachi Flora Prius Systems (1999)
26,33,2025,85,46,Building an AI server on a budget
27,65,2025,74,77,FAA to eliminate floppy disks used in air traffic control systems
28,80,2025,5,0,"tcpulse: A TCP/UDP load generator that provides fine-grained, flow-level control"
29,26,2025,74,28,Focus and Context and LLMs
30,24,2025,188,253,Coventry Very Light Rail
31,40,2025,6,1,Cult AI Computer's Boom and Bust [video]
32,18,2025,107,55,Startup Equity 101
33,47,2025,282,81,Field Notes from Shipping Real Code with Claude
34,47,2025,199,68,Ask HN: How to learn CUDA to professional level
